pcr_id,voucher_number,pcr_success,note,ignore_for_plating
20151215-pcr-1,FLPK-0253,1,,0
20151215-pcr-1,FLPK-0255,1,,0
20151215-pcr-1,FLPK-0256,0,blank,0
20151215-pcr-1,FLPK-0267,1,,0
20151215-pcr-1,FLPK-0271,1,,0
20151215-pcr-1,FLPK-0274,0,blank,0
20151215-pcr-1,FLPK-0276,1,,0
20151215-pcr-1,FLPK-0277,1,,0
20151215-pcr-1,FLPK-0286,1,missing pcr product...,0
20151215-pcr-1,FLPK-0287,0,blank,0
20151215-pcr-1,FLPK-0288,0,blank,0
20151215-pcr-1,FLPK-0290,0,blank,0
20151215-pcr-1,FLPK-0291,0,blank,0
20151215-pcr-1,FLPK-0293,1,,0
20151215-pcr-1,FLPK-0294,0,blank,0
20151215-pcr-1,FLPK-0295,1,,0
20151215-pcr-1,FLPK-0296,0,blank,0
20151215-pcr-1,FLPK-0301,0,blank,0
20151215-pcr-1,FLPK-0302,0,blank,0
20151215-pcr-1,FLPK-0303,1,,0
20151215-pcr-1,FLPK-0306,0,blank,0
20151215-pcr-1,FLPK-0307,0,blank,0
20151215-pcr-1,FLPK-0308,0,blank,0
20151215-pcr-1,FLPK-0310,0,blank,0
20151215-pcr-1,FLPK-0311,1,,0
20151215-pcr-1,FLPK-0318,0,blank,0
20151215-pcr-1,FLPK-0320,0,blank,0
20151215-pcr-1,FLPK-0324,0,very faint,0
20151215-pcr-1,FLPK-0325,0,blank,0
20151215-pcr-1,FLPK-0326,0,very faint,0
20151215-pcr-1,FLPK-0327,1,,0
20151215-pcr-1,FLPK-0328,0,blank,0
20151215-pcr-1,FLPK-0330,1,,0
20151215-pcr-1,FLPK-0331,1,,0
20151215-pcr-1,FLPK-0333,1,,0
20151215-pcr-1,FLPK-0339,0,blank,0
20151215-pcr-1,FLPK-0342,1,,0
20151215-pcr-1,FLPK-0344,1,,0
20151216-pcr-1,FLPK-0256,0,blank,0
20151216-pcr-1,FLPK-0274,0,blank,0
20151216-pcr-1,FLPK-0287,0,blank,0
20151216-pcr-1,FLPK-0288,0,blank,0
20151216-pcr-1,FLPK-0290,0,blank,0
20151216-pcr-1,FLPK-0291,0,blank,0
20151216-pcr-1,FLPK-0294,0,blank,0
20151216-pcr-1,FLPK-0296,0,blank,0
20151216-pcr-1,FLPK-0301,0,blank,0
20151216-pcr-1,FLPK-0302,0,blank,0
20151216-pcr-1,FLPK-0306,0,blank,0
20151216-pcr-1,FLPK-0307,0,blank,0
20151216-pcr-1,FLPK-0308,0,blank,0
20151216-pcr-1,FLPK-0310,0,blank,0
20151216-pcr-1,FLPK-0318,0,blank,0
20151216-pcr-1,FLPK-0320,0,blank,0
20151216-pcr-1,FLPK-0324,0,blank,0
20151216-pcr-1,FLPK-0325,0,blank,0
20151216-pcr-1,FLPK-0326,0,blank,0
20151216-pcr-1,FLPK-0328,0,blank,0
20151216-pcr-1,FLPK-0339,0,blank,0
20160111-pcr-1,FLPK-0349,1,,0
20160111-pcr-1,FLPK-0351,0,blank,0
20160111-pcr-1,FLPK-0352,1,,0
20160111-pcr-1,FLPK-0353,0,blank,0
20160111-pcr-1,FLPK-0354,0,blank,0
20160111-pcr-1,FLPK-0355,1,,0
20160111-pcr-1,FLPK-0356,1,,0
20160111-pcr-1,FLPK-0357,1,,0
20160111-pcr-1,FLPK-0358,1,,0
20160111-pcr-1,FLPK-0359,0,blank,0
20160111-pcr-1,FLPK-0360,0,blank,0
20160111-pcr-1,FLPK-0361,0,blank,0
20160111-pcr-1,FLPK-0362,0,blank,0
20160111-pcr-1,FLPK-0363,1,,0
20160111-pcr-1,FLPK-0364,0,blank,0
20160111-pcr-1,FLPK-0365,0,blank,0
20160111-pcr-1,FLPK-0366,0,blank,0
20160111-pcr-1,FLPK-0367,0,blank,0
20160111-pcr-1,FLPK-0368,1,,0
20160111-pcr-1,FLPK-0369,0,blank,0
20160111-pcr-1,FLPK-0370,0,blank,0
20160111-pcr-1,FL-AB-001,0,blank,0
20160111-pcr-1,FL-AB-002,1,,0
